==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:25:39
==============================================================
  File              : logs\echo_2026-05-17_14-25-39.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:25:53.610] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=16.0 risk=0.73
[14:25:53.626] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.9 risk=0.73
[14:25:53.643] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.9 risk=0.73
[14:25:53.660] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.8 risk=0.73
[14:25:53.677] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.8 risk=0.73
[14:25:53.695] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.7 risk=0.73
[14:25:53.712] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.7 risk=0.73
[14:25:53.729] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.6 risk=0.73
[14:25:53.746] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.6 risk=0.73
[14:25:53.795] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.4 risk=0.73
[14:25:53.814] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.4 risk=0.73
[14:25:53.832] [FOOD_FOUND          ] ECHO-11  | ate at (553, 151)  total=2
[14:25:53.869] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.3 risk=0.73
[14:25:53.894] [STATE_CHANGE        ] ECHO-11  | SEEK_FOOD (7.7s) -> WANDER  [normal]  h=16 e=60 s=50
[14:25:53.919] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.1 risk=0.73
[14:25:53.953] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=15.0 risk=0.73
