==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:40:52
==============================================================
  File              : logs\echo_2026-05-17_14-40-52.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:40:54.738] [STATE_CHANGE        ] ECHO-01  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=56 e=60 s=53
[14:40:55.545] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.560] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.561] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.576] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.578] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.593] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.594] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.610] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.611] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.627] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.628] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.644] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.646] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.661] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.662] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.677] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.679] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.693] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.694] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.709] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.710] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.725] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.726] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.741] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.742] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.759] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.764] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.776] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.777] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.794] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.795] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.796] [STATE_CHANGE        ] ECHO-09  | WANDER (3.1s) -> SEEK_FOOD  [normal]  h=55 e=91 s=45
[14:40:55.796] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.797] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.810] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.811] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.811] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.811] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.826] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.827] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.828] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.828] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.843] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.843] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.844] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.844] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.859] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.860] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.861] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.861] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.875] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.877] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:55.877] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:55.878] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:55.892] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:55.893] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
