
============================================================
  PROJECT ECHO – Session 2026-05-17 13:00:12
============================================================
[13:00:35.648] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:35.665] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:35.682] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:35.734] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:35.751] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:35.784] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:35.801] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:35.850] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:35.866] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:35.898] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:35.915] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:35.950] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:35.966] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:36.015] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:36.032] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:36.049] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:36.066] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:36.131] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:36.149] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:36.166] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:36.183] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:36.251] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:36.268] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:36.268] [STATE_CHANGE ] ECHO-05  | WANDER -> SOCIALIZE
[13:00:36.269] [STATS        ]          | pop=12  avg_hunger= 76.4  avg_energy= 32.0  hungry=10  social_events=2
[13:00:36.284] [STATE_CHANGE ] ECHO-05  | SOCIALIZE -> WANDER
[13:00:36.369] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
